time,Gli2,Hif1a,Rel,Aanat,Clock,Per1,Per2,Tef-1,Fos,Nfkb1,Arid3A,Atf1,Bach1,E2F6,Egr1,Stat3,Hdac1,Mafk,Mxi1,Phf8,Polr2A,Rcor1,Srebf1,Zmiz1
1,7.016051884,121.9588548,2.325714613,1116.537933,19.85271131,10.71320706,5.24974877,28.29300543,12.43503547,22.40071948,2.995605884,26.14846104,2.197529428,35.88591182,8.5651128,57.73161092,59.00849979,5.855722943,53.86681876,22.3454337,61.81567836,40.79906896,49.49563816,53.29025561
2,2.706344095,79.41233051,0.77380598,586.8064405,9.757917339,7.406231806,1.483356421,19.5150313,13.60971731,16.46457788,3.110239972,24.00690737,0.319849744,25.91099696,11.49232648,28.73352079,68.03353235,5.014687723,33.71849811,8.810527735,14.62312434,16.46382162,42.82907968,23.37047867
3,12.04078958,127.6010882,3.144557549,1616.801905,21.96677468,13.56697604,4.592575601,32.20388977,18.00869446,20.0931562,4.970772922,28.73955754,2.684350653,39.29427045,9.103775843,56.41339763,57.69936607,4.803287749,42.48863063,25.6091868,75.40022342,38.21384654,52.00010901,72.97637937
4,2.479167032,47.35642306,0.591622573,777.1346409,7.496476162,8.202101895,1.513291652,24.32776547,12.89782953,15.51681154,2.90297758,19.48005906,0.290397103,25.57997742,2.772066335,30.98001945,76.17487534,5.175059891,25.11039336,8.195459525,13.34693984,13.50243094,40.07216243,23.48378596
5,11.36350906,125.3083258,3.569979685,1085.4289,22.32356389,9.013802702,6.019060211,45.45738253,17.79198823,22.92486174,5.172907578,25.03680329,2.915497065,28.96771865,5.221051043,56.56429475,60.21837323,5.025105359,40.40170755,25.21055937,74.18093696,16.75116138,48.45453222,69.30815659
6,12.28319383,110.9360969,2.323519977,1266.560487,21.82574402,10.14360793,4.807432341,33.53593369,17.18556676,22.66591935,4.57336269,25.22811364,2.737191587,31.05029785,6.797446558,59.67710238,64.41074812,4.664609103,37.91549238,24.62500894,66.16080412,30.31606511,51.08872949,70.12618115
7,1.252540449,41.40057109,0.637977128,1153.882026,6.407859737,7.677971013,1.147682054,24.78351941,7.382036368,8.887878091,1.489095319,18.57007538,0.057517378,18.52701524,4.653235536,24.35681717,57.06290518,4.199558711,26.47940522,4.633953859,13.37703007,14.47226217,29.3379352,24.23127093
8,2.28039154,71.55155377,0.692124844,288.5574591,9.16292023,9.863420045,1.948912496,25.86664897,17.11538932,12.94457858,2.832510923,22.87262209,0.322742076,24.56702402,15.81228861,25.56360299,61.0702038,5.048455433,31.9156245,6.683010099,12.55725123,14.29509315,29.63901749,22.41600932
9,4.25980446,107.7525054,1.903775011,240.3855652,18.39024196,11.73041908,1.92841813,27.79063354,16.10669311,20.17177026,4.736979406,23.98907059,1.423947081,24.31336656,4.74205939,35.74860268,50.89249297,4.913929667,25.51798903,16.30610997,29.07617065,15.20325646,35.05901793,31.67611821
10,10.96809231,124.8216013,2.30796334,1309.669127,21.41147632,8.681975415,5.400220837,35.11972231,18.09749499,23.49705509,4.272137038,24.70508972,2.966305891,33.42009323,6.989379983,60.92536836,63.59227661,4.430159856,39.3555497,25.15857187,82.34374764,30.89624793,44.69777123,71.24899928
11,5.199542994,123.9398536,1.716413083,572.6071502,19.87798627,12.59110689,3.427229305,23.59604149,13.43811174,16.77952034,5.220511799,25.12673889,1.909664251,31.44642626,6.84058377,45.28260532,64.70523549,6.618132865,28.80614245,18.63284462,37.90899215,18.90124912,44.55221206,45.30143657
12,7.481493918,112.7818141,1.777206496,916.9579779,20.29906288,7.234852267,4.946533752,29.22132986,22.36379922,19.60440692,3.835472293,22.36765869,1.880981605,27.01757604,9.987204957,53.36887292,59.54346345,3.883754721,42.41055815,22.57299084,62.5330059,21.55252453,46.03668595,63.51703817
13,0.980299586,29.08231103,0.642344112,1543.876442,5.619630111,5.528590785,1.275728211,24.09420473,5.96260268,6.306580797,1.084894983,14.22619285,0.091084846,17.29230222,7.587732583,20.5467913,50.22939215,3.524757069,23.62747765,4.125144464,14.52613074,11.25525832,21.23786129,21.36483213
14,10.0454712,118.7044217,2.201806551,1043.729745,23.64069424,7.802153595,5.07471535,43.72961002,15.16159028,18.86312307,4.205556298,25.8805813,2.669133969,31.79735159,3.773063797,52.28748109,62.3974649,4.375612813,37.46149019,26.17996795,62.66643536,38.43645679,49.04948906,77.48538418
15,1.477684094,41.93993406,0.39276886,151.9923364,6.116867306,5.440646573,0.71753074,31.10284997,3.185608199,8.159529243,1.044989973,15.88962998,0.036148132,12.14617702,8.565074773,19.19829109,53.69648609,3.770052046,19.15135663,3.7985272,12.02015884,12.03976761,19.92726318,19.65363865
